country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Afghanistan,0.426484907,0.049481968,0.358607831,0.257764866,0.008047206,0.12614361,0.475345168,0.73659306,0.003073428
Albania,0.068159688,0.139531044,0.294592915,0.279037291,0.074933074,0.080399224,0.871794872,0.078864353,0.036833414
Algeria,0.120253165,0.1915594,0.146674953,0.180149263,0.098809399,0.187690602,0.875739645,0.27444795,0.040364993
Angola,0.566699124,0.311124563,0.06463642,0.246266258,0.042535232,0.245910729,0.552268245,0.79022082,0.031488322
Antigua and Barbuda,0.037487829,0.227078758,0.262274705,0.338255121,0.148652234,0.052213289,0.881656805,0.154574132,0.114241808
Argentina,0.057935735,0.094006233,0.390926041,0.091609983,0.145436567,0.232048794,0.861932939,0.192429022,0.096106673
Armenia,0.075462512,0.103511414,0.160969546,0.260064588,0.048966565,0.110710655,0.812623274,0.085173502,0.028529431
Australia,0.010710808,0.098508687,0.430080796,0.119781572,0.327925654,0.049625728,0.984220907,0.123028391,0.49317069
Austria,0.008276534,0.256094572,0.571162213,0.274437847,0.342396154,0.046973477,0.954635108,0.045741325,0.445446649
Azerbaijan,0.1781889,0.271102751,0.252952144,0.118631712,0.123730817,0.166435634,0.729783037,0.121451104,0.053536829
Bahamas,0.054527751,0.17455013,0.377874456,0.250865701,0.179201068,0.035274004,0.822485207,0.111987382,0.265049776
Bahrain,0.029211295,0.347144194,0.196395277,0.29226069,0.325513904,0.107661029,0.865877712,0.159305994,0.195372677
Bangladesh,0.227848101,0.079498327,0.106277191,0.124955946,0.014719714,0.104888642,0.755424063,0.186119874,0.005030114
Barbados,0.05647517,0.197062399,0.382846489,0.279612221,0.1181034,0.041872285,0.879684418,0.099369085,0.150512079
Belarus,0.014118793,0.256594844,0.236171535,0.370451223,0.12533865,0.178449312,0.755424063,0.05362776,0.055350342
Belgium,0.009250243,0.381663006,0.552517091,0.429094122,0.325513904,0.056279457,0.944773176,0.111987382,0.421584629
Belize,0.078870497,0.290613384,0.210689869,0.330206095,0.058452782,0.049440902,0.775147929,0.246056782,0.039219616
Benin,0.52775073,0.118519593,0.142324425,0.213495226,0.009735431,0.047084373,0.585798817,0.664037855,0.005030114
Bhutan,0.195228822,0.212070578,0.210689869,0.406096907,0.046715598,0.094261159,0.788954635,0.194006309,0.018602831
Bolivia,0.214216164,0.205567034,0.188315724,0.196822245,0.03859604,0.120044358,0.779092702,0.323343849,0.016693869
